"","x"
"364",11.46
"365",12.5
"366",11.51
"367",10.43
"368",10.43
"369",10.43
"370",10.7
"371",11.24
"372",11.37
"373",11.46
"374",10.99
"375",10.54
"376",10.45
"377",10.7
"378",11.42
"379",10.74
"380",11.01
"381",12.2
"382",11.96
"383",10.97
"384",12.07
"385",11.19
"386",11.6
"387",11.51
"388",10.25
"389",10.97
"390",11.37
"391",10.07
"392",10.34
"393",10.43
"394",10.43
"395",9.8
"396",10.79
"397",11.69
"398",12.5
"399",13.24
"400",12.09
"401",11.42
"402",10.61
"403",10
"404",10.88
"405",11.28
"406",11.42
"407",12.59
"408",11.42
"409",11.48
"410",10.88
"411",11.42
"412",11.19
"413",11.3
"414",10.88
"415",12.5
"416",11.37
"417",11.08
"418",11.1
"419",11.73
"420",11.73
"421",11.96
"422",11.89
"423",12
"424",13.51
"425",12.74
"426",12.27
"427",13.1
"428",11.48
"429",11.51
"430",11.51
"431",11.82
"432",11.82
"433",11.51
"434",11.33
"435",11.3
"436",11.51
"437",11.66
"438",10.7
"439",12
"440",10.74
"441",11.1
"442",12.92
"443",11.78
"444",11.28
"445",10.97
"446",13.04
"447",11.03
"448",12.59
"449",11.19
"450",11.19
"451",11.19
"452",10.81
"453",11.96
"454",10.85
"455",11.01
"456",11.03
"457",11.46
"458",12.11
"459",11.69
"460",11.44
"461",11.91
"462",11.89
"463",11.82
"464",12.43
"465",12.43
"466",12.27
"467",11.89
"468",11.91
"469",11.55
"470",12.09
"471",12.18
"472",12.11
"473",12.09
"474",11.64
"475",11.35
"476",11.21
"477",11.37
"478",12.54
"479",14.57
"480",12.99
"481",12.77
"482",12.77
"483",11.78
"484",12.7
"485",13.13
"486",13.33
"487",12.7
"488",12.45
"489",12.45
"490",12.11
"491",12.65
"492",13.46
"493",13.46
"494",12.9
"495",12.95
"496",12.86
"497",12.59
"498",12.54
"499",14.21
"500",12.68
"501",12.63
"502",13.35
"503",13.13
"504",12.65
"505",13.19
"506",13.51
"507",12.77
"508",13.17
"509",12.68
"510",12.63
"511",11.12
"512",12.07
"513",12.92
"514",12.05
"515",12.23
"516",12.05
"517",11.53
"518",11.82
"519",12.45
"520",12.05
"521",11.51
"522",10.79
"523",11.51
"524",10.81
"525",11.28
"526",12.09
"527",11.57
"528",12.77
"529",12.59
"530",12.09
"531",12.2
"532",11.84
"533",12.2
"534",11.93
"535",12.47
"536",12.52
"537",12.59
"538",12.99
"539",11.73
"540",11.82
"541",11.8
"542",11.8
"543",13.31
"544",12.07
"545",12.36
"546",11.51
"547",11.82
"548",11.42
"549",11.91
"550",12.59
"551",11.66
"552",11.96
"553",12.41
"554",12.52
"555",12.41
"556",12.52
"557",11.57
"558",11.26
"559",11.64
"560",10.88
"561",11.73
"562",12.52
"563",12.88
"564",13.01
"565",12.86
"566",12.23
"567",12.32
"568",11.84
"569",12.07
"570",12.5
"571",12.56
"572",12.11
"573",12.16
"574",12.09
"575",12.09
"576",12.07
"577",11.51
"578",10.97
"579",10.97
"580",9.89
"581",9.66
"582",10.47
"583",10.56
"584",11.1
"585",12.9
"586",11.51
"587",11.66
"588",11.96
"589",11.96
"590",11.1
"591",11.1
"592",11.19
"593",11.19
"594",10.74
"595",11.06
"596",11.28
"597",12.18
"598",10.98
"599",10.44
"600",10.56
"601",10.58
"602",10.98
"603",10.43
"604",10.38
"605",11.42
"606",11.42
"607",11.93
"608",11.03
"609",9.89
"610",9.36
"611",11.42
"612",11.42
"613",11.51
"614",11.51
"615",11.8
"616",12.59
"617",11.96
"618",11.42
"619",11.69
"620",11.96
"621",11.42
"622",11.28
"623",10.43
"624",10.97
"625",11.42
"626",12.05
"627",12.05
"628",11.64
"629",11.6
"630",11.96
"631",11.12
"632",11.69
"633",11.1
"634",11.78
"635",11.33
"636",11.53
"637",11.39
"638",11.55
"639",11.87
"640",11.96
"641",12.2
"642",11.66
"643",11.28
"644",11.01
"645",11.57
"646",11.75
"647",11.42
"648",11.87
"649",12.54
"650",11.98
"651",12.63
"652",12.83
"653",12.52
"654",11.6
"655",12.34
"656",12.34
"657",12.32
"658",13.06
"659",12.05
"660",10.54
"661",11.51
"662",11.08
"663",10.97
